Humedad (%),Temp. (C),Temp. (F),Indice (C),Indice (F),TimeStamp
69.00,22.30,72.14,22.39,72.30,02:17:41
68.00,22.30,72.14,22.36,72.25,02:19:43
69.00,22.30,72.14,22.39,72.30,02:21:46
69.00,22.10,71.78,22.17,71.90,02:23:48
69.00,22.10,71.78,22.17,71.90,02:25:51
69.00,22.00,71.60,22.06,71.70,02:27:53
70.00,22.00,71.60,22.08,71.75,02:29:56
68.00,21.80,71.24,21.81,71.26,02:31:58
68.00,21.80,71.24,21.81,71.26,02:34:01
68.00,21.80,71.24,21.81,71.26,02:36:03
68.00,21.70,71.06,21.70,71.06,02:38:06
68.00,21.70,71.06,21.70,71.06,02:40:08
68.00,21.50,70.70,21.48,70.67,02:42:11
69.00,21.50,70.70,21.51,70.71,02:44:14
69.00,21.50,70.70,21.51,70.71,02:46:16
69.00,21.40,70.52,21.40,70.51,02:48:19
69.00,21.40,70.52,21.40,70.51,02:50:21
69.00,21.30,70.34,21.29,70.32,02:52:24
70.00,21.40,70.52,21.42,70.56,02:54:26
70.00,21.30,70.34,21.31,70.36,02:56:29
70.00,21.30,70.34,21.31,70.36,02:58:31
70.00,21.20,70.16,21.20,70.17,03:00:34
70.00,21.20,70.16,21.20,70.17,03:02:37
70.00,21.10,69.98,21.09,69.97,03:04:39
70.00,21.10,69.98,21.09,69.97,03:06:42
71.00,21.10,69.98,21.12,70.01,03:08:44
70.00,21.00,69.80,20.98,69.77,03:10:47
71.00,21.10,69.98,21.12,70.01,03:12:49
71.00,21.10,69.98,21.12,70.01,03:14:52
71.00,21.00,69.80,21.01,69.82,03:16:55
71.00,21.00,69.80,21.01,69.82,03:18:57
71.00,21.00,69.80,21.01,69.82,03:21:00
71.00,21.00,69.80,21.01,69.82,03:23:02
71.00,21.00,69.80,21.01,69.82,03:25:05
71.00,21.00,69.80,21.01,69.82,03:27:07
71.00,21.00,69.80,21.01,69.82,03:29:10
70.00,20.90,69.62,20.87,69.57,03:31:12
70.00,20.90,69.62,20.87,69.57,03:33:15
70.00,20.90,69.62,20.87,69.57,03:35:18
70.00,20.90,69.62,20.87,69.57,03:37:20
70.00,20.90,69.62,20.87,69.57,03:39:23
70.00,20.90,69.62,20.87,69.57,03:41:25
70.00,20.90,69.62,20.87,69.57,03:43:28
70.00,20.90,69.62,20.87,69.57,03:45:30
71.00,20.80,69.44,20.79,69.42,03:47:33
70.00,20.80,69.44,20.76,69.37,03:49:35
70.00,20.80,69.44,20.76,69.37,03:51:38
70.00,20.80,69.44,20.76,69.37,03:53:40
70.00,20.80,69.44,20.76,69.37,03:55:43
70.00,20.90,69.62,20.87,69.57,03:57:46
70.00,20.80,69.44,20.76,69.37,03:59:48
71.00,20.80,69.44,20.79,69.42,04:01:51
70.00,20.80,69.44,20.76,69.37,04:03:53
71.00,20.80,69.44,20.79,69.42,04:05:56
71.00,20.70,69.26,20.68,69.22,04:07:59
71.00,20.70,69.26,20.68,69.22,04:10:01
71.00,20.70,69.26,20.68,69.22,04:12:04
71.00,20.70,69.26,20.68,69.22,04:14:06
71.00,20.60,69.08,20.57,69.02,04:16:09
71.00,20.70,69.26,20.68,69.22,04:18:11
71.00,20.70,69.26,20.68,69.22,04:20:14
71.00,20.70,69.26,20.68,69.22,04:22:16
71.00,20.70,69.26,20.68,69.22,04:24:19
71.00,20.70,69.26,20.68,69.22,04:26:22
71.00,20.60,69.08,20.57,69.02,04:28:24
71.00,20.60,69.08,20.57,69.02,04:30:27
71.00,20.60,69.08,20.57,69.02,04:32:28
71.00,20.60,69.08,20.57,69.02,04:34:31
71.00,20.60,69.08,20.57,69.02,04:36:33
71.00,20.60,69.08,20.57,69.02,04:38:36
71.00,20.60,69.08,20.57,69.02,04:40:38
71.00,20.60,69.08,20.57,69.02,04:42:41
71.00,20.60,69.08,20.57,69.02,04:44:44
71.00,20.50,68.90,20.46,68.83,04:46:46
71.00,20.60,69.08,20.57,69.02,04:48:49
71.00,20.50,68.90,20.46,68.83,04:50:51
71.00,20.50,68.90,20.46,68.83,04:52:54
71.00,20.60,69.08,20.57,69.02,04:54:56
71.00,20.50,68.90,20.46,68.83,04:56:59
71.00,20.50,68.90,20.46,68.83,04:59:01
71.00,20.50,68.90,20.46,68.83,05:01:04
71.00,20.50,68.90,20.46,68.83,05:03:06
71.00,20.50,68.90,20.46,68.83,05:05:09
72.00,20.50,68.90,20.49,68.87,05:07:11
72.00,20.50,68.90,20.49,68.87,05:09:14
72.00,20.50,68.90,20.49,68.87,05:11:16
71.00,20.50,68.90,20.46,68.83,05:13:19
72.00,20.50,68.90,20.49,68.87,05:15:22
72.00,20.50,68.90,20.49,68.87,05:17:24
72.00,20.50,68.90,20.49,68.87,05:19:27
71.00,20.50,68.90,20.46,68.83,05:21:29
72.00,20.50,68.90,20.49,68.87,05:23:32
71.00,20.50,68.90,20.46,68.83,05:25:34
72.00,20.40,68.72,20.38,68.68,05:27:37
71.00,20.40,68.72,20.35,68.63,05:29:39
72.00,20.40,68.72,20.38,68.68,05:31:42
72.00,20.40,68.72,20.38,68.68,05:33:44
72.00,20.50,68.90,20.49,68.87,05:35:47
72.00,20.40,68.72,20.38,68.68,05:37:50
72.00,20.40,68.72,20.38,68.68,05:39:52
72.00,20.40,68.72,20.38,68.68,05:41:55
72.00,20.40,68.72,20.38,68.68,05:43:57
72.00,20.40,68.72,20.38,68.68,05:46:00
72.00,20.40,68.72,20.38,68.68,05:48:02
73.00,20.40,68.72,20.40,68.72,05:50:05
73.00,20.40,68.72,20.40,68.72,05:52:07
73.00,20.40,68.72,20.40,68.72,05:54:10
73.00,20.40,68.72,20.40,68.72,05:56:12
73.00,20.40,68.72,20.40,68.72,05:58:15
73.00,20.30,68.54,20.29,68.52,06:00:17
73.00,20.40,68.72,20.40,68.72,06:02:20
73.00,20.40,68.72,20.40,68.72,06:04:22
73.00,20.40,68.72,20.40,68.72,06:06:25
74.00,20.40,68.72,20.43,68.77,06:08:27
74.00,20.50,68.90,20.54,68.97,06:10:30
73.00,20.50,68.90,20.51,68.92,06:12:33
73.00,20.50,68.90,20.51,68.92,06:14:35
73.00,20.40,68.72,20.40,68.72,06:16:38
73.00,20.50,68.90,20.51,68.92,06:18:40
73.00,20.50,68.90,20.51,68.92,06:20:43
73.00,20.40,68.72,20.40,68.72,06:22:45
73.00,20.40,68.72,20.40,68.72,06:24:48
73.00,20.40,68.72,20.40,68.72,06:26:50
73.00,20.40,68.72,20.40,68.72,06:28:53
73.00,20.40,68.72,20.40,68.72,06:30:55
73.00,20.30,68.54,20.29,68.52,06:32:58
73.00,20.30,68.54,20.29,68.52,06:35:01
73.00,20.40,68.72,20.40,68.72,06:37:03
73.00,20.30,68.54,20.29,68.52,06:39:06
73.00,20.20,68.36,20.18,68.33,06:41:08
73.00,20.30,68.54,20.29,68.52,06:43:11
73.00,20.20,68.36,20.18,68.33,06:45:13
73.00,20.30,68.54,20.29,68.52,06:47:16
73.00,20.30,68.54,20.29,68.52,06:49:18
73.00,20.30,68.54,20.29,68.52,06:51:21
73.00,20.30,68.54,20.29,68.52,06:53:23
73.00,20.30,68.54,20.29,68.52,06:55:26
73.00,20.30,68.54,20.29,68.52,06:57:29
73.00,20.30,68.54,20.29,68.52,06:59:31
73.00,20.30,68.54,20.29,68.52,07:01:34
74.00,20.40,68.72,20.43,68.77,07:03:36
74.00,20.30,68.54,20.32,68.57,07:05:38
74.00,20.40,68.72,20.43,68.77,07:07:40
74.00,20.30,68.54,20.32,68.57,07:09:43
74.00,20.30,68.54,20.32,68.57,07:11:46
74.00,20.40,68.72,20.43,68.77,07:13:48
74.00,20.30,68.54,20.32,68.57,07:15:51
74.00,20.40,68.72,20.43,68.77,07:17:53
74.00,20.40,68.72,20.43,68.77,07:19:56
73.00,20.40,68.72,20.40,68.72,07:21:58
73.00,20.40,68.72,20.40,68.72,07:24:01
73.00,20.40,68.72,20.40,68.72,07:26:03
73.00,20.40,68.72,20.40,68.72,07:28:06
74.00,20.40,68.72,20.43,68.77,07:30:09
74.00,20.40,68.72,20.43,68.77,07:32:11
73.00,20.40,68.72,20.40,68.72,07:34:14
73.00,20.40,68.72,20.40,68.72,07:36:16
74.00,20.40,68.72,20.43,68.77,07:38:19
74.00,20.40,68.72,20.43,68.77,07:40:21
74.00,20.40,68.72,20.43,68.77,07:42:24
74.00,20.50,68.90,20.54,68.97,07:44:26
74.00,20.40,68.72,20.43,68.77,07:46:29
73.00,20.50,68.90,20.51,68.92,07:48:32
73.00,20.50,68.90,20.51,68.92,07:50:34
74.00,20.50,68.90,20.54,68.97,07:52:37
74.00,20.50,68.90,20.54,68.97,07:54:39
74.00,20.50,68.90,20.54,68.97,07:56:42
74.00,20.50,68.90,20.54,68.97,07:58:44
74.00,20.50,68.90,20.54,68.97,08:00:47
73.00,20.60,69.08,20.62,69.12,08:02:50
73.00,20.60,69.08,20.62,69.12,08:04:52
74.00,20.60,69.08,20.65,69.17,08:06:54
73.00,20.50,68.90,20.51,68.92,08:08:57
73.00,20.60,69.08,20.62,69.12,08:11:00
73.00,20.60,69.08,20.62,69.12,08:13:02
73.00,20.60,69.08,20.62,69.12,08:15:05
73.00,20.60,69.08,20.62,69.12,08:17:07
73.00,20.60,69.08,20.62,69.12,08:19:10
73.00,20.70,69.26,20.73,69.32,08:21:12
73.00,20.70,69.26,20.73,69.32,08:23:15
73.00,20.70,69.26,20.73,69.32,08:25:17
73.00,20.80,69.44,20.84,69.51,08:27:20
72.00,20.80,69.44,20.82,69.47,08:29:22
72.00,20.90,69.62,20.93,69.67,08:31:25
72.00,20.90,69.62,20.93,69.67,08:33:28
73.00,21.00,69.80,21.06,69.91,08:35:30
73.00,21.00,69.80,21.06,69.91,08:37:33
73.00,21.00,69.80,21.06,69.91,08:39:35
73.00,21.00,69.80,21.06,69.91,08:41:38
73.00,21.00,69.80,21.06,69.91,08:43:40
72.00,21.00,69.80,21.04,69.86,08:45:43
72.00,21.20,70.16,21.26,70.26,08:47:45
71.00,21.30,70.34,21.34,70.41,08:49:48
71.00,21.50,70.70,21.56,70.81,08:51:51
71.00,21.50,70.70,21.56,70.81,08:53:53
71.00,21.40,70.52,21.45,70.61,08:55:56
71.00,21.40,70.52,21.45,70.61,08:57:58
71.00,21.50,70.70,21.56,70.81,09:00:01
71.00,21.50,70.70,21.56,70.81,09:02:03
71.00,21.50,70.70,21.56,70.81,09:04:05
71.00,21.30,70.34,21.34,70.41,09:06:07
71.00,21.30,70.34,21.34,70.41,09:08:10
72.00,21.30,70.34,21.37,70.46,09:10:12
72.00,21.30,70.34,21.37,70.46,09:12:15
72.00,21.40,70.52,21.48,70.66,09:14:18
72.00,21.30,70.34,21.37,70.46,09:16:20
72.00,21.50,70.70,21.59,70.85,09:18:23
71.00,21.60,70.88,21.67,71.01,09:20:25
71.00,21.50,70.70,21.56,70.81,09:22:28
72.00,21.50,70.70,21.59,70.85,09:24:30
72.00,21.60,70.88,21.70,71.05,09:26:33
72.00,21.60,70.88,21.70,71.05,09:28:36
72.00,21.70,71.06,21.81,71.25,09:30:38
71.00,21.70,71.06,21.78,71.20,09:32:41
71.00,21.80,71.24,21.89,71.40,09:34:43
71.00,21.80,71.24,21.89,71.40,09:36:46
71.00,21.80,71.24,21.89,71.40,09:38:48
71.00,21.70,71.06,21.78,71.20,09:40:51
71.00,21.90,71.42,22.00,71.60,09:42:53
71.00,21.90,71.42,22.00,71.60,09:44:56
72.00,22.00,71.60,22.14,71.84,09:46:59
72.00,22.00,71.60,22.14,71.84,09:49:01
72.00,22.10,71.78,22.25,72.04,09:51:04
72.00,22.10,71.78,22.25,72.04,09:53:06
72.00,22.20,71.96,22.36,72.24,09:55:09
72.00,22.30,72.14,22.47,72.44,09:57:12
73.00,22.50,72.50,22.71,72.88,09:59:14
70.00,22.40,72.32,22.52,72.54,10:01:17
70.00,22.30,72.14,22.41,72.34,10:03:19
71.00,22.30,72.14,22.44,72.39,10:05:22
70.00,22.40,72.32,22.52,72.54,10:07:24
71.00,22.30,72.14,22.44,72.39,10:09:27
70.00,22.50,72.50,22.63,72.74,10:11:29
70.00,22.60,72.68,22.74,72.94,10:13:32
69.00,22.80,73.04,22.94,73.29,10:15:34
69.00,22.70,72.86,22.83,73.09,10:17:37
69.00,22.90,73.22,23.05,73.48,10:19:39
69.00,23.00,73.40,23.16,73.68,10:21:42
69.00,22.90,73.22,23.05,73.48,10:23:45
68.00,23.00,73.40,23.13,73.64,10:25:47
69.00,23.00,73.40,23.16,73.68,10:27:50
68.00,23.00,73.40,23.13,73.64,10:29:52
68.00,22.90,73.22,23.02,73.44,10:31:55
68.00,23.00,73.40,23.13,73.64,10:33:57
68.00,23.00,73.40,23.13,73.64,10:36:00
68.00,23.00,73.40,23.13,73.64,10:38:02
68.00,23.00,73.40,23.13,73.64,10:40:05
68.00,23.00,73.40,23.13,73.64,10:42:07
68.00,23.00,73.40,23.13,73.64,10:44:10
68.00,22.90,73.22,23.02,73.44,10:46:12
69.00,22.90,73.22,23.05,73.48,10:48:15
69.00,22.90,73.22,23.05,73.48,10:50:18
68.00,22.90,73.22,23.02,73.44,10:52:20
66.00,22.80,73.04,22.86,73.15,10:54:23
68.00,22.70,72.86,22.80,73.04,10:56:25
68.00,22.70,72.86,22.80,73.04,10:58:28
68.00,22.80,73.04,22.91,73.24,11:00:30
66.00,22.70,72.86,22.75,72.95,11:02:33
67.00,22.70,72.86,22.77,73.00,11:04:35
67.00,22.70,72.86,22.77,73.00,11:06:38
67.00,22.70,72.86,22.77,73.00,11:08:40
67.00,22.70,72.86,22.77,73.00,11:10:43
66.00,22.60,72.68,22.64,72.75,11:12:46
67.00,22.70,72.86,22.77,73.00,11:14:48
67.00,22.60,72.68,22.66,72.80,11:16:51
63.00,22.50,72.50,22.45,72.41,11:18:53
64.00,22.50,72.50,22.48,72.46,11:20:56
66.00,22.40,72.32,22.42,72.35,11:22:58
